pid,name,pagerank_score
56/1673,Chunhua Shen,0.00024000355610454493
03/5204-1,Xinmei Tian 0001,0.00023949076143497302
76/847-6,Lei Feng 0006,0.0002393895890853065
70/3604-6,Chen Qian 0006,0.0002383826248850372
67/2667,Milind Tambe,0.00023819498759819867
24/2670,Rick Siow Mong Goh,0.00023795326290594
89/3076,Chi-Hung Chi,0.00023770924430120818
95/5912,Guang-Bin Huang,0.0002365198736509224
q/YuQiao1,Yu Qiao 0001,0.0002352795753466824
91/195-7,Chi Zhang 0007,0.0002333502906034288
w/DPWoodruff,David P. Woodruff,0.00023275953800617094
42/3332,Junsong Yuan 0001,0.00023268160527662154
134/8681,Guozhu Meng,0.0002315333126787886
95/1161-1,Kun Zhu 0001,0.00022979796260733597
236/9144,Gelei Deng,0.00022925623628104502
232/3190,Zhongang Cai,0.0002291423601161718
264/5802-1,Haoning Wu 0001,0.00022581259501253448
l/MalcolmYokeHeanLow,Malcolm Yoke Hean Low,0.00022495080645327164
52/3003,Shiwen Mao,0.00022406420507035406
163/6525,Chengwei Liu,0.00022331876671490017
26/1181,Haihua Xu 0001,0.0002226568763050123
17/6484,Chuan Heng Foh,0.00022227953210487506
16/9879,Wenxiu Sun,0.00022225920445238697
10/5630,Xin Wang,0.0002220309335947974
56/5807-1,Xian-Sheng Hua 0001,0.00022131169026272314
45/1224,Ekram Hossain 0001,0.0002209819044380993
123/5110,Joey Tianyi Zhou,0.0002206250470719365
22/2383,Suiping Zhou,0.0002205719273790403
52/9457,Chenliang Li,0.00021927839551887692
81/9436-1,Da Yan 0001,0.0002191276579526795
95/6812,Zengxiang Li,0.0002189067280142133
t/ChewLimTan,Chew Lim Tan,0.00021872226454496105
230/1216,Henghui Ding,0.00021862928951109654
61/9197,Bihuan Chen 0001,0.00021788085559366639
73/7055,Yinxing Xue,0.00021709757144379406
a/DavidAtienza,David Atienza,0.00021705227228736295
91/9687,Fayao Liu,0.00021511434714704855
239/4017,Xiangtai Li,0.000215019812107272
53/6625,Lidong Bing,0.00021469537926415878
35/11103,Felix Juefei-Xu,0.00021319028560009838
50/5754-2,Jun Yu 0002,0.00020947714359770164
74/7037-14,Liu Liu 0014,0.00020946147819372518
160/7918,Debjyoti Bhattacharjee,0.00020893023523990245
97/2966-2,Chang Xu 0002,0.00020888214720671467
03/2511-2,Hui Fang 0002,0.00020851036524385897
38/5125,Juyong Zhang,0.00020833848835535377
84/3795,Nan Li,0.00020821521035578613
149/1281-1,Shanshan Feng 0001,0.00020819769469811351
78/4473,Yin-Leng Theng,0.00020782986370238533
95/10521,Xiaojiang Chen,0.0002075945284709754
68/6526,Iti Chaturvedi,0.00020717143988606014
16/1234-1,Zhuo Zhang 0001,0.00020681743122179905
76/4975,Abbas Jamalipour,0.00020669852664318756
61/1140,Jinwei Gu,0.0002059871727068112
77/8060-1,Yueming Wu 0001,0.00020552656671290868
178/8725,Baosheng Yu,0.000205145038752649
84/10716,Guibing Guo,0.00020511040491554588
57/5656,Xiaojun Jia,0.000204870092475556
62/6016-1,Jiaxing Huang 0001,0.00020455964545038963
93/2671,Wangmeng Zuo,0.00020444848419450614
64/2903-2,Bo Dai 0002,0.00020425680023018712
88/6731-1,Jie Lin 0001,0.00020306517379945307
38/803,Chi-Wing Fu,0.00020228998273500706
40/7018-5,Yuan Zhou 0005,0.00020164688759280978
l/XiangYangLi,Xiang-Yang Li 0001,0.00020156324595035934
81/2641,A. Benjamin Premkumar,0.0002010321172088645
84/8761,Nancy F. Chen,0.00020048315300047142
27/2403,Yunhao Liu 0001,0.00020009404781649718
35/203,Zhenjiang Li,0.00019924789849694657
89/2619,Reynold Cheng,0.00019889789720205304
t/PhilipHSTorr,Philip H. S. Torr,0.00019868549468577567
88/619-6,Peng Sun 0006,0.00019863664833456464
50/8731,Wayne Wu,0.00019830195815395143
13/9079-1,Ke Gu 0001,0.0001979679330260151
02/7781-1,Shanshan Zhao 0001,0.00019780011683247968
92/6630,Leida Li,0.00019750656233047308
91/10215,Xulei Yang,0.00019701710901341528
249/8429,Xiaobao Wu,0.0001969572666324387
43/7400,Yufei Xu,0.0001969282465924122
l/KenliLi,Kenli Li 0001,0.00019569537832384812
42/8374,Qingyao Wu,0.00019441368122079513
160/3845,Anubhab Baksi,0.00019425097189712667
153/2475,Prasanna Ravi,0.00019422904687695227
45/5411,Nan Guan,0.00019365416880090972
04/5226,Xiaoou Tang,0.00019310118858009291
01/9308,Suranga Nanayakkara,0.00019266796812705966
14/6306,Rainer Leupers,0.00019221955592832438
58/9145-1,Shiqi Wang 0001,0.000192211258850607
15/4777-63,Tao Zhang 0063,0.00019106665372335243
52/6482,Zhenchang Xing,0.00019085918568558546
242/6467,Seanglidet Yean,0.00019078593550590515
85/3079,Debdeep Mukhopadhyay,0.00019051864837761056
52/4513,Huaxiong Wang,0.00019032267991728687
17/7992,Wanli Ouyang,0.0001900306402685575
79/3711,Ming-Hsuan Yang 0001,0.00018963332601164284
12/1367,Gabriel Kreiman,0.0001889598501292714
50/8499-1,Haoyu Wang 0001,0.00018890375796093133
49/5418,Xiaoli Tang,0.00018779495933560209
03/7457,Zhenghua Chen,0.00018745130676275833
73/7781,Baoyuan Wu,0.00018704284096749066
86/5681,Rongrong Ji,0.00018677085586392834
147/1237-1,Jieming Shi 0001,0.00018667133600854384
73/9801,Kok Soon Phua,0.00018617420954191035
39/3695,Xiaochun Cao,0.00018584033084871772
50/2484-45,Lei Yang 0045,0.00018540696375610657
150/9712,Qingqing Wu 0001,0.0001853681255687489
32/10216,Guiyuan Jiang,0.0001846487744073071
133/4527,Hongyuan Zhu,0.00018443678556890326
94/190-2,Jie Zheng 0002,0.00018336014486499934
80/3909,Dingyi Fang,0.00018303405663298356
x/JianliangXu,Jianliang Xu,0.00018285237131419012
y/PhilipSYu,Philip S. Yu,0.00018210153298718566
182/7262,Anxiang Zeng,0.00018189576526806496
16/1278-5,Chao Dong 0005,0.0001818296095543257
151/4420-1,Tiantian He 0001,0.00018171601824313466
23/6574,Terence Hung,0.0001814411623006049
193/4403,Zicheng Zhang,0.0001807445091258182
46/3348,Sumei Sun,0.00018027355028885311
28/7717,Yibo Yang,0.0001802629648704375
23/1818,Zheng-Jun Zha,0.00018014368615148387
59/1501,Richang Hong,0.00017964880546951994
16/6533,Yiyu Cai,0.0001794825169775623
12/4846,Liangpei Zhang 0001,0.00017945428010633608
92/2954-8,Feng Li 0008,0.0001791513345998289
10/4661-12,Wei Zhang 0012,0.00017913982140764886
145/1096,Bohan Zhuang,0.0001783546791224916
54/6827,Zhiwei Xiong,0.0001783320907679916
183/2642,Weisong Sun,0.00017821384268732303
331/2274,Yuekun Dai,0.00017798709790104066
178/9876,Lingjuan Lyu,0.0001778338905582004
191/2446,Frank Z. Xing,0.00017766976950106094
56/443,Jinghui Zhong,0.0001767494117494618
35/1228,Masashi Sugiyama,0.00017614640453099607
20/3716,Zhifeng Bao,0.00017602141264737726
87/2948-2,Yuan Liu 0002,0.0001757093789510152
11/2636-3,Lingling Fan 0003,0.0001756406526696109
72/5816,Huanhuan Chen,0.00017554412991247818
35/4372,Subhamoy Maitra,0.00017487502618213278
m/SanjayKumarMadria,Sanjay Kumar Madria,0.000174359206267538
207/1901,Jianqiang Huang,0.00017434523259747553
n/GeokSeeNg,Geok See Ng,0.00017334062607364986
139/6983,Xiongkuo Min,0.00017307160607212324
75/4085,Mérouane Debbah,0.0001725034103346853
84/3254-1,Fei Wu 0001,0.00017242596136605082
01/5858,Yang Gu,0.00017211940477992104
02/4647-6,Chao Ren 0006,0.00017050048073303609
183/6637,Chongwen Huang,0.00017048956402370934
42/6896-1,Ting Su 0001,0.0001703460107086103
35/4621,Kong-Aik Lee,0.00017027018745145302
215/3264,Qingpeng Zhu,0.0001701933483285068
85/6463-1,Bo Ai 0001,0.0001701845062317465
41/6237,Walid Saad,0.00017014760191230707
65/4423-75,Chen Chen 0075,0.0001698868474364001
150/5634,Changyan Yi,0.0001696635263557458
26/4850,Wen-Jing Hsu,0.00016911456957911228
93/8841,Dilip K. Prasad,0.0001687519884274358
20/4471,Cheng Deng,0.0001682827697072355
21/8587-2,Chen Gong 0002,0.00016807391886059715
08/162,Aung Aung Phyo Wai,0.00016803440761962277
195/8988,Chuanxia Zheng,0.00016748245267203326
178/8621,Zhiguang Cao,0.00016722939871045977
j/ChristianSJensen,Christian S. Jensen,0.00016712148322709433
02/5336,Gerd Ascheid,0.00016612631747576044
205/8767,Siyuan Liang,0.00016600207410499178
55/3346,Christian Theobalt,0.00016588236032937968
122/2673,Junhui Hou,0.00016566232041125844
40/5402,Siwei Ma,0.00016543317720237087
149/8306,Zhiwei Zeng,0.00016501207276095787
24/3702,Fei Hou,0.00016439260789672018
55/5031,Bin Cui 0001,0.0001639207906350881
21/7664,Jianye Hao,0.00016369646790461107
71/6601,Wei Guo,0.00016365490481434327
06/4171,James Cheng,0.0001634447374439066
181/2839-26,Kai Chen 0026,0.0001632511450108621
189/5885,Yuchen Hu,0.000163056829183204
23/108-1,Jiang Liu 0001,0.00016298351292937457
52/6744,Shuigeng Zhou,0.00016285663273901357
07/6149,Zhi-Hong Guan,0.0001625562379179146
d/LingyuDuan,Ling-Yu Duan,0.00016242762025059596
07/314-1,Jian Zhang 0001,0.0001621834566002184
80/1737,Bertil Schmidt,0.00016157887099638166
79/1442-6,Chao Xu 0006,0.00016150647257220233
118/5100,Neethu Robinson,0.0001615027827985936
g/XianfengGu,Xianfeng Gu,0.0001613087528744967
69/6707,Tien Yin Wong,0.00016107412148369402
53/1471,Puay Siew Tan,0.00016092331181951332
08/2489-1,Xiaohong Li 0001,0.0001601860958257094
205/3991,Xintao Wang,0.00016018422695223287
