pid,name,weighted_degree
33/1678,Geguang Pu,243
t/PhilipHSTorr,Philip H. S. Torr,242
59/2741,Xiang Bai,242
02/2515,Zhongkang Lu,241
148/9588,Van Tung Pham,240
50/5754-2,Jun Yu 0002,239
23/1818,Zheng-Jun Zha,238
00/5480,See-Kiong Ng,236
56/5807-1,Xian-Sheng Hua 0001,233
236/9144,Gelei Deng,233
145/1096,Bohan Zhuang,232
125/2814,Chenglin Xu,232
02/7781-1,Shanshan Zhao 0001,232
188/6350,Yi Tay,231
150/9712,Qingqing Wu 0001,230
40/3934-4,Dong Wang 0004,230
73/4373-1,Ming Tang 0001,230
58/9145-1,Shiqi Wang 0001,229
10/217,Cheng Chen,228
01/5858,Yang Gu,228
88/619-6,Peng Sun 0006,228
234/8028,Xuansong Xie,227
o/EePingOng,Ee Ping Ong,225
05/8618,Fahad Shahbaz Khan,225
35/4621,Kong-Aik Lee,224
179/2548,Shan You,223
21/1136,Wu Jigang,222
91/195-7,Chi Zhang 0007,222
13/9079-1,Ke Gu 0001,222
29/8349,Dafeng Zhang,222
20/4471,Cheng Deng,222
c/AdrianDavidCheok,Adrian David Cheok,221
78/1813-2,Xinpeng Li 0002,221
28/7409,Chengzhi Jiang,221
55/1756,Ting Jiang,221
98/3796,Wenjie Lin,221
96/3446-17,Qi Wu 0017,221
211/5818,Mingyan Han,221
143/7181,Haoqiang Fan,221
49/8652,Shuaicheng Liu,221
22/2383,Suiping Zhou,217
23/8208-1,Jiayi Zhang 0001,217
253/9580,Mingde Yao,217
55/3346,Christian Theobalt,217
07/5681-1,Liang Feng 0001,216
15/1123,Mohsen Guizani,216
200/7275,Cen Zhang,216
134/8681,Guozhu Meng,216
176/8839,Yonghui Xu,216
178/8725,Baosheng Yu,215
64/6544,Yi Zhang,213
75/4085,Mérouane Debbah,213
64/5160,Zhichao Zhang,213
78/4473,Yin-Leng Theng,213
205/7219,Aoran Xiao,213
50/671,Yu Zhang,212
38/5125,Juyong Zhang,212
72/3380,Shi-Qing Xin,212
142/3885,Guangqi Shao,212
42/10799,Xiaotao Wang,212
09/471,Lei Lei,212
87/6853-1,Zhao Zhang 0001,212
318/3006,Suiyi Zhao,212
81/7807,Yanyan Wei,212
253/9938,Ramesh Ashok Tabib,212
230/1216,Henghui Ding,211
57/145,Wenjun Zeng 0001,211
83/1359-1,Daqing Zhang 0001,211
122/2673,Junhui Hou,211
52/3194-32,Fei Wang 0032,211
00/5179-1,Rui Tan 0001,209
28/7717,Yibo Yang,209
127/6132,Qianru Sun,209
169/7255,Yukun Ma,208
266/7958,Jer Shyuan Ng,208
205/2918,Tianyue Zheng,208
13/2692-24,Bing Li 0024,208
217/9580,Qianhui Sun,207
h/ThomasSHuang,Thomas S. Huang,207
124/2136,Long Lan,206
64/6896,Huchuan Lu,205
84/3795,Nan Li,204
183/6637,Chongwen Huang,204
122/2259,Haiqiang Wang,204
151/9910,Xiangguang Chen,204
178/9814,Wenhui Meng,204
59/749,Xiang Pan,204
368/3663,Huiying Shi,204
02/1555-3,Han Zhu 0003,204
23/2240,Xiaozhong Xu,204
02/2264-9,Lei Sun 0009,204
49/4215-1,Shan Liu 0001,204
302/4205,Dianwen Ng,203
92/6630,Leida Li,203
89/3136,Susu Yao,202
348/7584-1,Zhenhua Feng 0001,201
k/JosefKittler,Josef Kittler,201
04/1538,Edwin Lughofer,201
03/7457,Zhenghua Chen,200
276/3216,Annan Wang,200
93/8104,Shiming Ge,200
62/3401,Chunhui Zhang,200
272/6439,Qihuang Zhong,200
119/4173,Meiqing Wu,199
50/5489,Wen Song,199
15/1777-2,Di Liu 0002,199
50/2484-45,Lei Yang 0045,198
70/1741-1,Lei Xie 0001,198
44/3549-1,Trung Hieu Nguyen 0001,198
183/2642,Weisong Sun,198
78/4523,Bin He,198
84/8761,Nancy F. Chen,197
70/3604-1,Chen Qian 0001,197
71/6948-1,Jianjun Zhao 0001,197
20/10243,Gongjie Zhang,197
95/10112,Diep N. Nguyen,196
95/1161-1,Kun Zhu 0001,196
207/8653,Shangqing Liu,196
09/3666,Lei Chen,195
41/6824,Weiming Hu,195
a/SihemAmerYahia,Sihem Amer-Yahia,195
56/4499-1,Liang Wang 0001,194
61/9197,Bihuan Chen 0001,193
02/7548,Yanjie Chen,193
m/JiriMatas,Jiri Matas,193
203/8539,Alexander R. Fabbri,191
239/3478,Yinqiu Liu,190
25/4108-1,Hongbo Jiang 0001,190
271/8391-1,Yilun Zhao 0001,190
96/6702,Lijun Wang,190
56/4951-1,Jin Tang 0001,190
87/7879,Wenjie Tang,189
73/7055,Yinxing Xue,189
188/1205,Anfeng He,189
187/1232,Zhao Luo,189
343/4311,Jinbo Wen,188
33/4816,Pengyu Zhang,188
79/3712,Chong Luo,187
149/8306,Zhiwei Zeng,187
r/DragomirRRadev,Dragomir R. Radev,187
66/3387-37,Hui Li 0037,187
03/8693,Efstratios Gavves,187
120/4095,Yuchen Fan,187
26/5200-1,Ding Liu 0001,187
55/5814,Antoni B. Chan,186
126/8027,Lichao Zhang,186
254/1000,Marcos V. Conde,186
64/5630-51,Qiang Wang 0051,186
44/740-3,Jiaqi Wang 0003,186
16/3283,Xi Chen,185
98/69,Mingyuan Zhang,185
17/6484,Chuan Heng Foh,185
255/0117,Shikun Li,185
09/1365-34,Xin Li 0034,185
57/6240-1,Zhenyu He 0001,185
67/2667,Milind Tambe,184
123/5110,Joey Tianyi Zhou,184
42/4110-1,Wenyu Liu 0001,184
225/9851,Yaqi Wu,184
172/1282-2,Xiangyu Xu 0002,184
16/5766,Liangliang Wang,183
05/3403-8,Xin Zhou 0008,183
17/7992,Wanli Ouyang,182
72/8614,Yingbo Zhou,182
27/2403,Yunhao Liu 0001,182
71/8042,Xiaoxiao Li,182
95/6812,Zengxiang Li,181
41/1572,Yingjie Zhou,181
03/6872-1,Yong-Jin Liu 0001,181
95/10521,Xiaojiang Chen,181
163/4511,Amanda Berg,181
210/2313,Linyu Zheng,181
206/6445,Litu Rout,181
154/1351,Luca Bertinetto,181
151/8848,Martin Danelljan,181
209/8650,Matteo Dunnhofer,181
174/2809,Meng Ni,181
34/5733-3,Min Young Kim 0003,181
154/9080,Abdelrahman Eldesokey,181
260/3261,Naveen Paluru,181
56/10105,Niki Martinel,181
04/383-13,Pengfei Xu 0013,181
58/4525-5,Pengfei Zhang 0005,181
260/2752,Pengkun Zheng,181
52/323,Qi Zhang,181
244/2529,Jani Käpylä,181
45/7595,Rama Krishna Sai Subrahmanyam Gorthi,181
07/6331,Richard M. Everson,181
205/4022,Ruize Han,181
160/9929,Ruohan Zhang,181
260/3125,Shao-Chuan Zhao,181
155/9654,Shengwei Zhao,181
242/1376,Shihu Li,181
160/3616,Gustavo Fernández,181
208/8033,Shuai Bai,181
245/8954,Shuosen Guan,181
82/1822,Tengfei Xing,181
169/4627,Tianyang Xu,181
120/8076-3,Tianyu Yang 0003,181
06/5919-6,Ting Zhang 0006,181
142/5749,Tomás Vojír,181
39/2359,Weizhao Wang,181
156/0213,Abel Gonzalez-Garcia,181
115/5698,Xi Qiu,181
13/5168-1,Xiao-Jun Wu 0001,181
54/230,Xiaoyun Yang,181
260/3035,Xier Chen,181
69/6460,Alireza Memarmoghadam,181
90/2719,Xing Sun,181
59/7651,Xingyu Chen,181
123/7064,Xu Tang,181
70/6628,Xuefeng Zhu,181
75/6434-8,Yan Huang 0008,181
78/10104,Yanan Chen,181
253/3698,Yanchao Lian,181
245/2878,Andong Lu,181
254/1072,Yinda Xu,181
59/605,Yingming Wang,181
172/4240,Yingping Li,181
36/2728-16,Yu Zhou 0016,181
66/875,Yuan Dong,181
60/9627,Yunhua Zhang,181
260/2938,Yunkun Li,181
132/7882-8,Zeyu Wang 0008,181
81/7883,Zhaoliang Zhang,181
169/4022,Zhichao Song,181
50/505-4,Zhihao Chen 0004,181
49/4941,Zhipeng Zhang,181
147/5025,Zhirong Wu,181
251/0619,Zhongjian Huang,181
188/7504,Anton Varfolomieiev,181
132/2247,Zhu Teng,181
187/9123,Zihan Ni,181
141/9949,Ardhendu Shekhar Tripathi,181
15/5400,Arnold W. M. Smeulders,181
260/3120,Bala Suraj Pedasingu,181
153/1895,Bao Xin Chen,181
22/3524,Baopeng Zhang,181
174/9761,Bi Li 0005,181
92/786-4,Bin Yan 0004,181
54/5260,Bing Bai,181
l/AlesLeonardis,Ales Leonardis,181
13/2692-1,Bing Li 0001,181
50/3402-114,Bo Li 0114,181
214/8978,Byeong Hak Kim,181
79/1552-4,Chao Ma 0004,181
60/2548,Chen Fang,181
83/7820-2,Chenglong Li 0002,181
163/1795,Chengquan Zhang,181
25/1650,Chi-Yi Tsai,181
00/78,Michael Felsberg,181
28/38,Christian Micheloni,181
65/2751,Deepak Gupta,181
260/2975,Dejia Song,181
260/3303,Eunu Yi,181
35/2836,Roman P. Pflugfelder,181
10/8496,Fangyi Zhang,181
21/6180,Fei Zhao,181
220/3209,George De Ath,181
190/7682,Goutam Bhat,181
178/8116,Guangqi Chen,181
227/7195,Guangting Wang,181
121/6265,Guoxuan Li,181
14/6210,Hakan Cevikalp,181
13/6441-6,Hao Du 0006,181
k/JoniKristianKamarainen,Joni-Kristian Kämäräinen,181
216/7590,Haojie Zhao,181
225/3263,Hasan Saribas,181
36/5839,Ho Min Jung,181
34/5268,Hongliang Bai,181
133/1706,Houwen Peng,181
69/7673,Jiakun Li,181
19/8654,Luka Cehovin Zajc,181
93/3389,Jianhua Li,181
83/8692,Jianlong Fu,181
92/6289,Jie Chen,181
181/2794,Jie Gao,181
23/3168-14,Jie Zhao 0014,181
l/JingLi36,Jing Li 0036,181
27/2384,Jingjing Wu,181
164/5911,Jingtuo Liu,181
79/5367,Ondrej Drbohlav,181
09/287,Jinqing Qi,181
10/2874,Jinyue Zhang,181
t/JohnKTsotsos,John K. Tsotsos,181
39/2874,Jong Hyuk Lee,181
67/3379,Joost van de Weijer 0001,181
260/2774,Jun Ha Lee,181
213/4212,Junfei Zhuang,181
260/2990,Kangkai Zhang,181
03/9859,Kangkang Wang,181
160/3679,Alan Lukezic,181
250/4445,Kenan Dai,181
21/2715,Lei Liu,181
249/8242,Leida Guo,181
89/5992-40,Li Zhang 0040,181
14/1719,Lijun Zhou,181
68/2031-2,Wei Rao 0002,180
88/6731-1,Jie Lin 0001,180
14/1705,Yunhai Tong,180
22/1460,Hanwu Sun,179
10/4661-12,Wei Zhang 0012,179
177/3248,Seungjun Nah,179
68/6424-2,Sanghyun Son 0002,179
17/4029,Kyoung Mu Lee,179
185/1060,Jiahui Yu,179
29/5255-3,Thong Nguyen 0003,179
155/2883,Rongliang Wu,179
131/4074,Jiahui Zhang,179
03/2511-2,Hui Fang 0002,178
43/3254,Haihong Zhang,178
46/3348,Sumei Sun,178
46/8076,Wenwei Zhang,178
195/8988,Chuanxia Zheng,177
282/6550,Yurui Zhu,177
136/9389,Xueyang Fu,177
92/249,A. Prasad Vinod 0001,176
97/3742,Guangming Shi,176
95/5358,Khaled B. Letaief,176
158/4231,Kele Xu,175
x/JianliangXu,Jianliang Xu,175
80/3909,Dingyi Fang,174
220/0988,Zhihao Fan,174
241/4348,Shuo Huai,173
42/3332,Junsong Yuan 0001,172
