pid,name,weighted_degree
19/2969-1,Jindong Wang 0001,127
43/8066-2,Xiaojie Guo 0002,127
46/3359-1,Wenjun Zhang 0001,126
329/5838,Jia Qi Yip,126
87/763,Howard H. Yang,126
218/5224,Zonghang Li,126
55/7960,Yaoyao Ye,126
41/6237,Walid Saad,125
75/5713,Ville Hautamäki,125
73/1778,Choong Seon Hong,125
81/3569-1,Hao Fei 0001,125
06/4171,James Cheng,125
171/1258,Kailong Wang 0001,125
181/2323,Yan Sun,125
67/463,Meng Fang,125
16/6533,Yiyu Cai,125
146/0878,Mohammad Abu Alsheikh,124
07/4182-0001,Chun Chen 0001,124
86/5681,Rongrong Ji,124
12/417-16,Hui Chen 0016,124
170/1654,Changgong Zhang,124
05/10163,Jakub Breier,123
74/3148,Longbiao Wang,123
98/6343-1,Chao Cai 0001,123
32/32,Wei Ma,123
211/7010,Xiaohang Zhan,123
89/2619,Reynold Cheng,122
j/ChristianSJensen,Christian S. Jensen,122
l/XiangYangLi,Xiang-Yang Li 0001,122
19/1947,Preslav Nakov,122
61/7591,Peiran Ren,122
166/1912,Minhui Xue 0001,121
63/1534-21,Xu Yang 0021,121
k/AloisKnoll,Alois C. Knoll,121
15/2133,Cheung-Chi Leung,121
60/657,Zhongke Wu,121
94/190-2,Jie Zheng 0002,121
65/657,Hengjie Song,121
50/2484-18,Lei Yang 0018,121
22/7733,Qiong Cao,121
90/549-1,Zhaohui Yang 0001,120
124/0384,Juan Deng,120
125/8938,Kezhi Wang,120
122/3088,Rongpeng Li,120
50/3147,Jiajun Bu,120
89/4402,Yang Gao,120
82/2790-4,Wei Yu 0004,120
84/4965,Munchurl Kim,120
198/9637,Tiantong Guo,120
73/1467,Vishal Monga,120
119/4026,Zhangyang Wang,120
a/DavidAtienza,David Atienza,120
95/5912,Guang-Bin Huang,119
21/506,Kaibin Huang,119
48/4914,Shuguang Cui,119
58/6810-41,Li Wang 0041,119
52/6482,Zhenchang Xing,119
20/2039,Ming Liu,119
10/2453,Xiaofeng Yang,119
53/1565,Xiapu Luo,118
225/5519,Daqing Liu,118
194/1299,Alice Baird,118
g/XianfengGu,Xianfeng Gu,118
00/2494,Hady W. Lauw,118
140/7348-3,Yixin Liu 0003,118
144/7556,Daoyuan Wu,118
77/8060-1,Yueming Wu 0001,118
00/3188,Jianping Shi,118
57/2056,Yu Zhao,118
87/2948-2,Yuan Liu 0002,117
98/5684-3,Wenjie Zhang 0003,117
68/6526,Iti Chaturvedi,117
20/8038-2,Yixin Cao 0002,117
52/5716-40,Chang Liu 0040,117
13/3672-1,Z. Jane Wang 0001,117
58/6576-1,Xiaofei Wang 0001,116
97/10238,Antonio De Domenico,116
243/6550,Lukas Stappen,116
39/10651,Ruitao Feng,116
181/2831,Chen Wei,116
50/3402-26,Bo Li 0026,116
339/0425,Yuanshen Guan,116
47/8889-1,Thomas Laurent 0001,116
10/3849,Budhitama Subagdja,116
03/2515,Kalyani Chatterjea,116
47/3024,Min-Hsiu Hsieh,116
329/2730,Martin Riddell,115
160/1727,Arman Cohan,115
206/8280,Yanwei Jiang,115
129/1254,Peter Kairouz,115
64/898,H. Brendan McMahan,115
200/7947,Brendan Avent,115
61/8017,Aurélien Bellet,115
199/2164,Arjun Nitin Bhagoji,115
29/4152,Kallista A. Bonawitz,115
213/3622,Zachary Charles,115
c/GrahamCormode,Graham Cormode,115
56/9841,Rachel Cummings,115
125/1967,Rafael G. L. D'Oliveira,115
122/2942,Salim El Rouayheb,115
e/DavidEvans,David Evans 0001,115
195/6806,Josh Gardner 0001,115
255/5493,Zachary Garrett,115
90/3256,Adrià Gascón,115
125/2134,Badih Ghazi,115
g/PhillipBGibbons,Phillip B. Gibbons,115
87/88,Marco Gruteser,115
39/2793,Zaïd Harchaoui,115
222/6721-1,Chaoyang He 0001,115
225/5245,Lie He,115
178/8562,Zhouyuan Huo,115
56/1256,Ben Hutchinson,115
35/10964,Justin Hsu,115
17/4402,Martin Jaggi,115
74/2569,Tara Javidi,115
119/3872,Gauri Joshi,115
199/2224,Mikhail Khodak,115
139/0872,Jakub Konecný,115
08/1446,Aleksandra Korolova,115
k/FarinazKoushanfar,Farinaz Koushanfar,115
14/8885,Sanmi Koyejo,115
08/11136,Tancrède Lepoint,115
39/6266,Prateek Mittal,115
03/5448,Mehryar Mohri,115
n/RichardNock,Richard Nock,115
12/4534,Ayfer Özgür,115
p/RasmusPagh,Rasmus Pagh,115
96/1046,Hang Qi,115
47/5036,Daniel Ramage,115
r/RameshRaskar,Ramesh Raskar,115
07/5590-1,Mariana Raykova 0001,115
171/5170,Weikang Song,115
04/10549,Sebastian U. Stich,115
194/8609,Ziteng Sun,115
119/3884,Ananda Theertha Suresh,115
158/7224,Florian Tramèr,115
131/6694,Praneeth Vepakomma,115
98/6805,Jianyu Wang,115
39/3530-1,Li Xiong 0001,115
83/2535-2,Zheng Xu 0002,115
23/10574,Felix X. Yu,115
04/11534,Sen Zhao,115
141/0649,Farhad Merchant,114
71/5859,Dinh Phung 0001,114
26/4850,Wen-Jing Hsu,114
230/4012,Chao-Han Huck Yang,114
214/2295,Zhi Hao Lim,114
52/3194,Fei Wang,114
40/1491,Xiang Li,114
20/5565,Damon Wing Kee Wong,114
10/5630,Xin Wang,114
279/6151,Xinshuai Dong,114
97/4637,Jon Garibaldi,114
88/8205-1,Tianyi Zhou 0001,114
20/4420,Boon-Ping Gan,113
77/2970-1,Xin Cao 0001,113
27/2122,Emilio Calvanese Strinati,113
48/1294,Feng Zhang,113
12/7627-1,Xinfeng Zhang 0001,113
18/5410-23,Di Wang 0023,113
16/7565-1,Jie Fu 0001,112
56/443,Jinghui Zhong,112
218/7793,Yueting Zhuang,112
w/LeiWang20,Lei Wang 0020,112
g/AlexanderFGelbukh,Alexander F. Gelbukh,112
252/1240,Wanli Ni,112
239/6045,Wayne Zhang 0001,112
121/0867,Haoliang Li,112
75/1683-2,Gang Yu 0002,112
66/6604,Zhiyong Lu,112
51/4757-2,Kai Han 0002,112
181/2834-46,Zheng Wang 0046,111
94/60,Hongfang Yu,111
253/2147,Ruochen Zhao,111
317/0657,Xuan Long Do,111
27/2376,Edwin Hsing-Mean Sha,111
190/2868,Yaowen Zheng,111
65/7804,Yuchao Dai,111
36/3855,Eric P. Xing,111
76/1735,Yixiang Fang,110
71/4476,Enamul Hoque,110
151/4420-1,Tiantian He 0001,110
178/1416,Ke Xian,110
64/6025-190,Wei Li 0190,110
241/9593,Jiangning Zhang,110
86/896,Chunjing Xu,110
t/JeanPhilippeThiran,Jean-Philippe Thiran,110
20/2165-8,You Zhou 0008,109
62/6846-2,Yao Sun 0002,109
12/5913-1,Kai He 0001,109
98/6997,Zeng Zeng,109
118/5482,Jiaxing Xu,109
16/8492,Shoujin Wang,109
83/820-1,Feng Shao 0001,109
08/890-1,Xiangyu Zhao 0001,109
262/1686-1,Hui Xiong 0001,109
51/4757-3,Kai Han 0003,109
57/6221-6,Sen Zhang 0006,109
58/7646,Alok Prakash,108
04/4493,Shuo Sun,108
27/7017-27,Peng Chen 0027,108
52/146-3,Yuming Jiang 0003,108
