pid,name,pagerank_score
178/8621,Zhiguang Cao,0.0003278582191685969
27/2403,Yunhao Liu 0001,0.00032668602254619996
25/4108-1,Hongbo Jiang 0001,0.00032518441788850414
140/4707,Changxing Ding,0.00032498713872055495
49/3283-5,Wei Liu 0005,0.00032483914965597224
03/6872-1,Yong-Jin Liu 0001,0.0003243467680662355
x/JianliangXu,Jianliang Xu,0.0003216970582941906
205/2918,Tianyue Zheng,0.00032091601444968193
04/5226,Xiaoou Tang,0.00032024355834912014
65/4423-75,Chen Chen 0075,0.00031796678628948284
232/3190,Zhongang Cai,0.00031361092763115627
95/10521,Xiaojiang Chen,0.0003125906915518314
38/5125,Juyong Zhang,0.000312478557000044
17/6484,Chuan Heng Foh,0.00031200004012029776
153/2475,Prasanna Ravi,0.0003107305174571998
50/5754-2,Jun Yu 0002,0.0003099593784326348
119/4173,Meiqing Wu,0.00030905106728303295
199/1893,Shaohan Feng,0.0003076080943415631
67/2667,Milind Tambe,0.00030722603379945766
163/6525,Chengwei Liu,0.00030699923373882974
11/2636-3,Lingling Fan 0003,0.00030515149593422563
43/5957,Meng-Hiot Lim,0.00030380000750643114
w/DPWoodruff,David P. Woodruff,0.0003028213756656417
227/6598,Ruichen Zhang,0.0003024476673285865
88/619-6,Peng Sun 0006,0.0003021303667477752
98/153,Ying-Chang Liang,0.00030193536007639896
151/7878,Ming Chi,0.0003016045302879977
78/4473,Yin-Leng Theng,0.00030096340652193684
m/SanjayKumarMadria,Sanjay Kumar Madria,0.0002997762241714154
03/7457,Zhenghua Chen,0.0002981264572120336
h/BingshengHe,Bingsheng He,0.0002967851597954608
35/203,Zhenjiang Li,0.00029479008981920515
32/10216,Guiyuan Jiang,0.0002946506759866277
80/3909,Dingyi Fang,0.0002937000330996713
122/2673,Junhui Hou,0.00029315998343815245
81/2641,A. Benjamin Premkumar,0.00029304484486724854
64/2903-2,Bo Dai 0002,0.0002923239896082657
06/3071-1,Xiaokang Yang 0001,0.0002921706854136767
189/5885,Yuchen Hu,0.00029210640602658224
03/5204-1,Xinmei Tian 0001,0.0002915264272480996
37/4424-1,Xiao Lu 0001,0.00029135081997873027
91/195-7,Chi Zhang 0007,0.0002905918847356635
20/4471,Cheng Deng,0.0002903415372621612
160/3845,Anubhab Baksi,0.0002881587305877938
56/5807-1,Xian-Sheng Hua 0001,0.0002877980118450942
w/RaymondChiWingWong,Raymond Chi-Wing Wong,0.00028740699251007855
a/DavidAtienza,David Atienza,0.0002872007151218404
236/9144,Gelei Deng,0.0002871455527683793
61/1140,Jinwei Gu,0.0002871135674996024
75/1281,Ling Shao 0001,0.00028693489229402965
t/ChewLimTan,Chew Lim Tan,0.00028628146058259007
70/3604-6,Chen Qian 0006,0.0002856245848992912
03/2511-2,Hui Fang 0002,0.0002848162087479756
50/8731,Wayne Wu,0.0002834289759425695
