colab_id,author_pid,author_name,year,collaborator_pid,collaborator_name
84,15/3108,Alexei Sourin,2010,15/3108,Alexei Sourin
85,15/3108,Alexei Sourin,2010,15/3108,Alexei Sourin
86,15/3108,Alexei Sourin,2010,15/3108,Alexei Sourin
87,15/3108,Alexei Sourin,2009,15/3108,Alexei Sourin
88,15/3108,Alexei Sourin,2009,15/3108,Alexei Sourin
89,15/3108,Alexei Sourin,2009,15/3108,Alexei Sourin
90,15/3108,Alexei Sourin,2009,15/3108,Alexei Sourin
91,15/3108,Alexei Sourin,2009,15/3108,Alexei Sourin
92,15/3108,Alexei Sourin,2009,15/3108,Alexei Sourin
93,15/3108,Alexei Sourin,2009,15/3108,Alexei Sourin
94,15/3108,Alexei Sourin,2009,15/3108,Alexei Sourin
95,15/3108,Alexei Sourin,2008,15/3108,Alexei Sourin
96,15/3108,Alexei Sourin,2008,15/3108,Alexei Sourin
97,15/3108,Alexei Sourin,2008,15/3108,Alexei Sourin
98,15/3108,Alexei Sourin,2007,15/3108,Alexei Sourin
99,15/3108,Alexei Sourin,2007,15/3108,Alexei Sourin
100,15/3108,Alexei Sourin,2007,15/3108,Alexei Sourin
101,15/3108,Alexei Sourin,2007,15/3108,Alexei Sourin
102,15/3108,Alexei Sourin,2006,15/3108,Alexei Sourin
103,15/3108,Alexei Sourin,2006,15/3108,Alexei Sourin
104,15/3108,Alexei Sourin,2006,15/3108,Alexei Sourin
105,15/3108,Alexei Sourin,2006,15/3108,Alexei Sourin
106,15/3108,Alexei Sourin,2006,15/3108,Alexei Sourin
107,15/3108,Alexei Sourin,2006,15/3108,Alexei Sourin
108,15/3108,Alexei Sourin,2006,15/3108,Alexei Sourin
109,15/3108,Alexei Sourin,2006,15/3108,Alexei Sourin
110,15/3108,Alexei Sourin,2006,15/3108,Alexei Sourin
111,15/3108,Alexei Sourin,2005,15/3108,Alexei Sourin
112,15/3108,Alexei Sourin,2005,15/3108,Alexei Sourin
113,15/3108,Alexei Sourin,2005,15/3108,Alexei Sourin
114,15/3108,Alexei Sourin,2005,15/3108,Alexei Sourin
115,15/3108,Alexei Sourin,2005,15/3108,Alexei Sourin
116,15/3108,Alexei Sourin,2004,s/SeahHockSoon,Seah Hock Soon
117,15/3108,Alexei Sourin,2004,15/3108,Alexei Sourin
118,15/3108,Alexei Sourin,2004,15/3108,Alexei Sourin
119,15/3108,Alexei Sourin,2004,15/3108,Alexei Sourin
120,15/3108,Alexei Sourin,2004,15/3108,Alexei Sourin
121,15/3108,Alexei Sourin,2003,15/3108,Alexei Sourin
122,15/3108,Alexei Sourin,2002,15/3108,Alexei Sourin
123,15/3108,Alexei Sourin,2002,15/3108,Alexei Sourin
124,15/3108,Alexei Sourin,2002,15/3108,Alexei Sourin
125,15/3108,Alexei Sourin,2002,15/3108,Alexei Sourin
126,15/3108,Alexei Sourin,2001,15/3108,Alexei Sourin
127,15/3108,Alexei Sourin,2001,15/3108,Alexei Sourin
128,15/3108,Alexei Sourin,2001,15/3108,Alexei Sourin
129,15/3108,Alexei Sourin,1999,15/3108,Alexei Sourin
130,15/3108,Alexei Sourin,1998,15/3108,Alexei Sourin
131,15/3108,Alexei Sourin,1996,15/3108,Alexei Sourin
132,15/3108,Alexei Sourin,1996,15/3108,Alexei Sourin
133,15/3108,Alexei Sourin,1995,15/3108,Alexei Sourin
134,15/3108,Alexei Sourin,1995,15/3108,Alexei Sourin
135,163/6518,Alvin Chan,2023,163/6518,Alvin Chan
136,163/6518,Alvin Chan,2023,64/4136,Yew-Soon Ong
137,163/6518,Alvin Chan,2022,163/6518,Alvin Chan
138,163/6518,Alvin Chan,2022,64/4136,Yew-Soon Ong
139,163/6518,Alvin Chan,2022,51/3710-3,Yang Liu 0003
140,163/6518,Alvin Chan,2022,163/6518,Alvin Chan
141,163/6518,Alvin Chan,2022,64/4136,Yew Soon Ong
142,163/6518,Alvin Chan,2022,163/6518,Alvin Chan
143,163/6518,Alvin Chan,2022,64/4136,Yew Soon Ong
144,163/6518,Alvin Chan,2022,163/6518,Alvin Chan
145,163/6518,Alvin Chan,2022,163/6518,Alvin Chan
146,163/6518,Alvin Chan,2022,64/4136,Yew-Soon Ong
147,163/6518,Alvin Chan,2022,163/6518,Alvin Chan
148,163/6518,Alvin Chan,2022,64/4136,Yew-Soon Ong
149,163/6518,Alvin Chan,2022,163/6518,Alvin Chan
150,163/6518,Alvin Chan,2021,163/6518,Alvin Chan
151,163/6518,Alvin Chan,2021,163/6518,Alvin Chan
