Faculty,Position,Gender,Management,DBLP,Area,pid
A S Madhukumar,Associate Professor,M,N,https://dblp.uni-trier.de/pers/m/Madhukumar:A=_S=.html,Computer Networks,66/549
Alexei Sourin,Associate Professor,M,N,https://dblp.org/pers/s/Sourin:Alexei.html,Computer Graphics,15/3108
Alvin Chan,Assistant Professor,M,N,https://dblp.uni-trier.de/pid/163/6518.html,,163/6518
Anupam Chattopadhyay,Associate Professor,M,N,https://dblp.org/pers/c/Chattopadhyay:Anupam.html,Computer Architecture,99/4535
Anwitaman Datta,Associate Professor,M,N,https://dblp.org/pers/d/Datta:Anwitaman.html,Distributed Systems,d/AnwitamanDatta
Arijit Khan,Assistant Professor,M,N,https://dblp.org/pid/67/2933.html,Data Management,67/2933
Arvind Easwaran,Associate Professor,M,N,https://dblp.org/pers/e/Easwaran:Arvind.html,Computer Architecture,73/1708
Bo An,Associate Professor,M,N,https://dblp.org/pid/42/6178-1.html,AI/ML,42/6178-1
Boyang Li,Associate Professor,M,N,https://dblp.org/pid/70/1211.html,AI/ML,70/1211
Cai Jianfei,Professor,M,N,https://dblp.org/pid/83/6096.html,Computer Vision,83/6096
Cai Wentong,Professor,M,Y,https://dblp.org/pid/83/3179.html,Distributed Systems,83/3179
Cham Tat Jen,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cham:Tat=Jen.html,Computer Vision,29/3808
Chan Syin,Associate Professor,F,N,https://dblp.org/pers/c/Chan:Syin.html,Computer Networks,80/2106
Chee Wei Tan,Associate Professor,M,N,https://dblp.uni-trier.de/pid/163/6518.html,,163/6518
Chen Change Loy,Professor,M,N,https://dblp.uni-trier.de/pid/01/5855.html,,01/5855
Chia Liang Tien Clement,Associate Professor,M,N,https://dblp.org/pers/c/Chia:Liang=Tien.html,Multimedia,05/2952
Chng Eng Siong,Associate Professor,M,N,https://dblp.org/pers/s/Siong:Chng_Eng.html,AI/ML,c/ChngEngSiong
Cong Gao,Professor,M,N,https://dblp.uni-trier.de/pers/c/Cong:Gao.html,Data Mining,33/3180
Conrad Watt,Assistant Professor,M,N,https://dblp.uni-trier.de/pid/165/2801.html,,165/2801
Deepu Rajan,Associate Professor,M,N,https://dblp.uni-trier.de/pers/r/Rajan:Deepu.html,Computer Vision,95/3115
Dmitrii Ustiugov ,Assistant Professor,M,N,https://dblp.uni-trier.de/pid/191/7824.html,,191/7824
Douglas Leslie Maskell,Associate Professor,M,N,https://dblp.org/pers/m/Maskell:Douglas_L=.html,Computer Architecture,63/6663
Dusit Niyato,Professor,M,N,https://dblp.uni-trier.de/pers/n/Niyato:Dusit.html,Computer Networks,76/440
Erik Cambria,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cambria:Erik.html,AI/ML,80/7421
