pid,name,pagerank_score
03/6872-1,Yong-Jin Liu 0001,0.00033318496331304504
49/3283-5,Wei Liu 0005,0.0003322181571502114
140/4707,Changxing Ding,0.00033221672428791836
52/3003,Shiwen Mao,0.0003311815777841336
205/2918,Tianyue Zheng,0.0003305472473096855
33/1903,Xiaokui Xiao,0.0003294752582766408
04/5226,Xiaoou Tang,0.00032752775742288004
65/4423-75,Chen Chen 0075,0.0003240010593970434
232/3190,Zhongang Cai,0.0003213678067954965
38/5125,Juyong Zhang,0.00031991298306017926
17/6484,Chuan Heng Foh,0.00031973750326052755
95/10521,Xiaojiang Chen,0.00031964023732756114
153/2475,Prasanna Ravi,0.0003180272721306918
199/1893,Shaohan Feng,0.0003177914314180962
50/5754-2,Jun Yu 0002,0.0003169187380401488
119/4173,Meiqing Wu,0.00031623067627764687
163/6525,Chengwei Liu,0.000314474311395538
67/2667,Milind Tambe,0.00031366977860007453
11/2636-3,Lingling Fan 0003,0.0003122864188469806
98/153,Ying-Chang Liang,0.0003110576634494456
43/5957,Meng-Hiot Lim,0.00031068129704679546
w/DPWoodruff,David P. Woodruff,0.0003095281136202403
88/619-6,Peng Sun 0006,0.0003092653779756526
151/7878,Ming Chi,0.00030891545281763874
h/BingshengHe,Bingsheng He,0.0003078802588780663
78/4473,Yin-Leng Theng,0.00030683518825717405
03/7457,Zhenghua Chen,0.0003054924588265315
227/6598,Ruichen Zhang,0.0003051198936322598
35/203,Zhenjiang Li,0.00030197587395822996
32/10216,Guiyuan Jiang,0.0003015646739079585
37/4424-1,Xiao Lu 0001,0.0003012630485259478
122/2673,Junhui Hou,0.00030120059712525663
81/2641,A. Benjamin Premkumar,0.0003009780083660977
80/3909,Dingyi Fang,0.00030032828758669224
06/3071-1,Xiaokang Yang 0001,0.00029897568770468144
64/2903-2,Bo Dai 0002,0.00029895312554277016
w/RaymondChiWingWong,Raymond Chi-Wing Wong,0.0002985645912995096
03/5204-1,Xinmei Tian 0001,0.00029821650957396133
189/5885,Yuchen Hu,0.00029763400958834213
91/195-7,Chi Zhang 0007,0.0002974492880363372
20/4471,Cheng Deng,0.0002972084704184616
85/6463-1,Bo Ai 0001,0.0002970246565110325
160/3845,Anubhab Baksi,0.0002946910421992981
236/9144,Gelei Deng,0.00029459564284949996
56/5807-1,Xian-Sheng Hua 0001,0.0002939884347879625
a/DavidAtienza,David Atienza,0.00029356001640197125
61/1140,Jinwei Gu,0.00029353212988605736
70/3604-6,Chen Qian 0006,0.000292926729869939
75/1281,Ling Shao 0001,0.00029237458728068017
03/2511-2,Hui Fang 0002,0.00029158358702974083
t/ChewLimTan,Chew Lim Tan,0.00029144486681536615
145/1096,Bohan Zhuang,0.000290056176986603
